Error: No matching rule for lucene-queryparser-5.2.1.jar https://central.sonatype.com/artifact/org.apache.lucene/lucene-queryparser/5.2.1, no licenses
Error: No matching rule for lucene-sandbox-5.2.1.jar https://central.sonatype.com/artifact/org.apache.lucene/lucene-sandbox/5.2.1, no licenses
Error: No matching rule for lucene-suggest-5.2.1.jar https://central.sonatype.com/artifact/org.apache.lucene/lucene-suggest/5.2.1, no licenses
Error: No matching rule for lz4-java-1.7.1.jar https://central.sonatype.com/artifact/org.lz4/lz4-java/1.7.1, no licenses
Error: No matching rule for okhttp-3.12.12.jar https://central.sonatype.com/artifact/com.squareup.okhttp3/okhttp/3.12.12, no licenses
Error: No matching rule for okio-1.15.0.jar https://central.sonatype.com/artifact/com.squareup.okio/okio/1.15.0, no licenses
Error: No matching rule for pinyin4j-2.5.0.jar https://central.sonatype.com/artifact/com.belerweb/pinyin4j/2.5.0, no licenses
Error: No matching rule for rocksdbjni-8.10.2.jar https://central.sonatype.com/artifact/org.rocksdb/rocksdbjni/8.10.2, no licenses
Error: No matching rule for shims-0.9.38.jar https://central.sonatype.com/artifact/org.roaringbitmap/shims/0.9.38, no licenses
Error: No matching rule for slf4j-api-1.7.31.jar https://central.sonatype.com/artifact/org.slf4j/slf4j-api/1.7.31, no licenses
Error: No matching rule for spring-aop-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-aop/5.3.27, no licenses
Error: No matching rule for spring-beans-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-beans/5.3.27, no licenses
Error: No matching rule for spring-context-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-context/5.3.27, no licenses
Error: No matching rule for spring-core-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-core/5.3.27, no licenses
Error: No matching rule for spring-expression-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-expression/5.3.27, no licenses
Error: No matching rule for spring-jcl-5.3.27.jar https://central.sonatype.com/artifact/org.springframework/spring-jcl/5.3.27, no licenses
Error: No matching rule for spring-security-core-5.8.3.jar https://central.sonatype.com/artifact/org.springframework.security/spring-security-core/5.8.3, no licenses
Error: No matching rule for spring-security-crypto-5.8.3.jar https://central.sonatype.com/artifact/org.springframework.security/spring-security-crypto/5.8.3, no licenses
Error: No matching rule for word-1.3.jar https://central.sonatype.com/artifact/org.apdplat/word/1.3, no licenses
Error: No matching rule for zjsonpatch-0.3.0.jar https://central.sonatype.com/artifact/io.fabric8/zjsonpatch/0.3.0, no licenses
